IN004102500,20180101,20.684647910229316
IN004102500,20180102,19.39121815224965
IN004102500,20180103,19.579451941522777
IN004102500,20180104,20.70021257110521
IN004102500,20180105,19.271170592433947
IN004102500,20180106,18.37929626380202
IN004102500,20180107,19.092308482498254
IN004102500,20180108,20.977595079321574
IN004102500,20180109,19.9119416276464
IN004102500,20180110,20.128010517555822
IN004102500,20180111,18.369511137394056
IN004102500,20180112,19.12877681846814
IN004102500,20180113,19.57135322138228
IN004102500,20180114,21.106374080661425
IN004102500,20180115,21.404320871231718
IN004102500,20180116,20.48390925877078
IN004102500,20180117,20.964759239436503
IN004102500,20180118,21.43339017894688
IN004102500,20180119,20.663213975241234
IN004102500,20180120,19.657450792726053
IN004102500,20180121,20.572451361867735
IN004102500,20180122,20.024152945853274
IN004102500,20180123,20.25827411358881
IN004102500,20180124,21.72870067856246
IN004102500,20180125,22.473694568635437
IN004102500,20180126,21.785274723100287
IN004102500,20180127,21.558559320314174
IN004102500,20180128,23.017018763324202
IN004102500,20180129,24.032963642797114
IN004102500,20180130,23.920928079300673
IN004102500,20180131,24.442829171103703
IN004102500,20180201,23.40240655001154
IN004102500,20180202,23.841352717829665
IN004102500,20180203,23.760396411276695
IN004102500,20180204,25.460497589017848
IN004102500,20180205,26.34862761587476
IN004102500,20180206,26.164321809696503
IN004102500,20180207,25.99647785039943
IN004102500,20180208,25.872914588359052
IN004102500,20180209,26.534715396662513
IN004102500,20180210,26.16977608208657
IN004102500,20180211,24.948157065631943
IN004102500,20180212,25.682611366174466
IN004102500,20180213,25.86477715379629
IN004102500,20180214,25.61092203407574
IN004102500,20180215,26.429992641500938
IN004102500,20180216,27.03770521874713
IN004102500,20180217,27.576395546842583
IN004102500,20180218,26.75982715033218
IN004102500,20180219,26.954339450471455
IN004102500,20180220,27.129661387744655
IN004102500,20180221,27.3208117321213
IN004102500,20180222,28.961772818801208
IN004102500,20180223,30.027173265972664
IN004102500,20180224,29.435585533665524
IN004102500,20180225,28.288796410971475
IN004102500,20180226,28.89059582883528
IN004102500,20180227,29.928428901491294
IN004102500,20180228,27.86610366449979
IN004102500,20180229,30.89326923076922
IN004102500,20180301,28.266414762741647
IN004102500,20180302,29.195161073789457
IN004102500,20180303,30.529737811425388
IN004102500,20180304,30.24953740665946
IN004102500,20180305,30.453504364981114
IN004102500,20180306,31.701793431287797
IN004102500,20180307,30.722801409885278
IN004102500,20180308,31.01016223630688
IN004102500,20180309,30.877760072843156
IN004102500,20180310,31.877090974147954
IN004102500,20180311,32.69510328266979
IN004102500,20180312,30.568421422423626
IN004102500,20180313,30.075621094345394
IN004102500,20180314,30.767219342548287
IN004102500,20180315,31.66901635387515
IN004102500,20180316,31.65277035823651
IN004102500,20180317,32.75444172237254
IN004102500,20180318,33.1156685920277
IN004102500,20180319,33.784198367472655
IN004102500,20180320,34.213753617542295
IN004102500,20180321,34.910788301572126
IN004102500,20180322,34.77381724369849
IN004102500,20180323,34.73597504803517
IN004102500,20180324,36.49280434280436
IN004102500,20180325,36.64449714191038
IN004102500,20180326,35.55692432936358
IN004102500,20180327,36.16221129210227
IN004102500,20180328,36.004358767170736
IN004102500,20180329,34.95195703622792
IN004102500,20180330,33.861313250865386
IN004102500,20180331,35.911043231982774
IN004102500,20180401,36.940420760186825
IN004102500,20180402,37.086994830771
IN004102500,20180403,37.13226132057891
IN004102500,20180404,34.93295548797346
IN004102500,20180405,35.99000650802483
IN004102500,20180406,36.64469540170409
IN004102500,20180407,37.28447508951157
IN004102500,20180408,37.27826371979772
IN004102500,20180409,36.00828148667425
IN004102500,20180410,37.44148657184002
IN004102500,20180411,37.08666045259178
IN004102500,20180412,38.1626877411139
IN004102500,20180413,38.46375044197978
IN004102500,20180414,37.94249465431217
IN004102500,20180415,37.222919334186926
IN004102500,20180416,38.72337461470114
IN004102500,20180417,38.60782808422409
IN004102500,20180418,39.178990940248156
IN004102500,20180419,38.38049510738341
IN004102500,20180420,35.11515803714178
IN004102500,20180421,37.00565651283392
IN004102500,20180422,37.49339036817481
IN004102500,20180423,38.360795676670115
IN004102500,20180424,38.272765222291426
IN004102500,20180425,36.23556315484217
IN004102500,20180426,37.26576891533835
IN004102500,20180427,36.99638492162923
IN004102500,20180428,37.945448736613926
IN004102500,20180429,36.07603782225694
IN004102500,20180430,36.67723971765982
IN004102500,20180501,38.17982893324568
IN004102500,20180502,37.10673936262471
IN004102500,20180503,38.560842210547264
IN004102500,20180504,37.98328719918653
IN004102500,20180505,37.34340341810396
IN004102500,20180506,37.5743805403443
IN004102500,20180507,36.95400329384938
IN004102500,20180508,37.5099519661023
IN004102500,20180509,38.828043821174475
IN004102500,20180510,38.97310986053341
IN004102500,20180511,39.277979404863885
IN004102500,20180512,40.074611654844205
IN004102500,20180513,39.50566978613337
IN004102500,20180514,40.38183653016341
IN004102500,20180515,38.278600269179
IN004102500,20180516,38.53553039967053
IN004102500,20180517,37.55245357106167
IN004102500,20180518,37.98493368888575
IN004102500,20180519,38.00900636319139
IN004102500,20180520,36.76969660702531
IN004102500,20180521,37.03299811015118
IN004102500,20180522,39.46181023925719
IN004102500,20180523,37.77137845121269
IN004102500,20180524,37.10411776117954
IN004102500,20180525,38.839539655399186
IN004102500,20180526,35.01491611062244
IN004102500,20180527,36.66469039015129
IN004102500,20180528,37.63171704561083
IN004102500,20180529,38.66071065076447
IN004102500,20180530,37.93229961832061
IN004102500,20180531,36.65021010541619
IN004102500,20180601,38.09057792047419
IN004102500,20180602,39.884953658055615
IN004102500,20180603,38.67543349600248
